# ARCHIVO DE EJEMPLO — NO ES LA LISTA OFICIAL.
# Sirve para probar el mecanismo de carga y ver cómo se comporta la app.
# Antes de usar ProTerr en un proyecto real, reemplaza este archivo por el
# Inventario Nacional de Especies del Ministerio del Medio Ambiente
# (clasificacionespecies.mma.gob.cl) exportado con estas mismas columnas,
# y vuelve a ejecutar: python3 tools/cargar_conservacion.py <archivo>
#
# La app muestra siempre el valor de "fuente" junto a la categoría, para que
# nadie confíe en una clasificación sin saber de dónde salió.
nombre_cientifico,rce,decreto,origen,endemica,migratoria,proteccion_legal,fuente
Vultur gryphus,VU,,Nativa,no,no,Ley de Caza,EJEMPLO - verificar con MMA
Hippocamelus bisulcus,EN,,Nativa,no,no,Monumento Natural,EJEMPLO - verificar con MMA
Lycalopex fulvipes,EN,,Nativa,si,no,Ley de Caza,EJEMPLO - verificar con MMA
Leopardus guigna,VU,,Nativa,no,no,Ley de Caza,EJEMPLO - verificar con MMA
Lontra provocax,EN,,Nativa,no,no,Ley de Caza,EJEMPLO - verificar con MMA
Chinchilla lanigera,EN,,Nativa,si,no,Ley de Caza,EJEMPLO - verificar con MMA
Rhinoderma darwinii,EN,,Nativa,no,no,Ley de Caza,EJEMPLO - verificar con MMA
Spheniscus humboldti,VU,,Nativa,no,no,Ley de Caza,EJEMPLO - verificar con MMA
Pudu puda,VU,,Nativa,no,no,Monumento Natural,EJEMPLO - verificar con MMA
Lycalopex culpaeus,LC,,Nativa,no,no,Ley de Caza,EJEMPLO - verificar con MMA
Scelorchilus rubecula,LC,,Nativa,si,no,,EJEMPLO - verificar con MMA
Aphrastura spinicauda,LC,,Nativa,no,no,,EJEMPLO - verificar con MMA
Sephanoides sephaniodes,LC,,Nativa,no,no,,EJEMPLO - verificar con MMA
Milvago chimango,LC,,Nativa,no,no,,EJEMPLO - verificar con MMA
Leistes loyca,LC,,Nativa,no,no,,EJEMPLO - verificar con MMA
Columba livia,NE,,Exótica asilvestrada,no,no,,EJEMPLO - verificar con MMA
Oryctolagus cuniculus,NE,,Exótica,no,no,,EJEMPLO - verificar con MMA
Lepus europaeus,NE,,Exótica,no,no,,EJEMPLO - verificar con MMA
Liolaemus zapallarensis,NT,,Nativa,si,no,,EJEMPLO - verificar con MMA
Pleurodema thaul,LC,,Nativa,no,no,,EJEMPLO - verificar con MMA
